Things Added to the Park,Things Added to Park Count,Current park usage,Current Park Usage Count,Would you use an improved park?,Increased Usage Count,Do you have kids?,Kids Count,"If yes, how many?",How Many Kids Count,Do you have pets?,Pets Count,"If yes, how many?",How Many Pets Count,What gender are you?,Gender Count,What is your age range?,Age Range Count
"Rest Areas(benches, etc.)",0,Excercise,2,"Yes, 1-3 times a week",1,Yes,1,1 kid,1,Yes,2,1 pet,1,F,2,Less than 18 years old,2
Trees/Plants,4,Play,2,"Yes, 4-7 times a week",2,No,6,2 kids,0,No,5,2 pet,1,M,5,18-24 years old,2
Public art installations,2,Relax,4,"Yes, 8 or more times a week",4,,,3 kids,0,,,,,,,25-34 years old,0
Play area for kids,3,Nature/Air/Trees,5,No,0,,,,,,,,,,,35-54 years old,1
Fountains,2,Events,0,,,,,,,,,,,,,55-74 years old,2
Other,2,Connection with friends or neighbors,3,,,,,,,,,,,,,Older than 75,0
,,Do not enjoy outdoors,0,,,,,,,,,,,,,,
,,Other,2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Total Respondents,7,,,,,,,,,,,,,,,,
